地点,latitude,longitude,活动,门票价格,时间
康定木雅塔,101.58683,30.332971,参观由活佛多吉扎西修建，有一系列有序的楼层，代表佛陀并存放珍贵的遗物,,
枯树滩阿坝,102.879114,31.056532,枯树滩原名“隆珠措”。因沙棘树被雪水常年浸泡而枯参差错落的生长在清澈的湖水之中与零落的水杉一起，形成别样景致,,
宽窄巷子,104.053307,30.663869,参观感受清代建筑内设有时尚的咖啡馆、酒吧和精品店,,春秋
奎星楼街,104.053864,30.668365,当地美食,,
喇嘛寺阿坝,103.168748,31.026641,阳光之下，寺前的白塔闪燿金光经幡飘扬，藏民牵着马在庙门经过这里是嘉绒藏族灵魂的归属之地,,
乐山,103.766085,29.552275,“吃”才是打开乐山的正确方式。钵钵鸡、甜皮鸭、豆腐脑、跷脚牛肉、冰粉...只有在私家定制团，才可能有更多的时间在乐山解锁四川美食的半壁江山。位于乐山港的上中顺街-一个既有“诗意的颜值”也有“美食的灵魂”的步行街，非常适合边逛边吃，打卡拍照！,,
乐山大佛,103.772645,29.548848,参观大佛像，世界最大的石刻佛像。乐山游船受天气风速，水位等影响，开停航波动频繁。若园区因客观天气原因取消游船项目，我们会与您协商退款或改至乐山登山游。因受天气原因影响较大，仅限当日购买，分时段预约进入，若园区因客观天气原因取消游船项目，会与悠协商退款。,,
勒多漫因BC营地,101.843026,29.801973,上日乌且营地-日乌且垭口-莫溪沟尾营地（或勒多漫因BC营地）(徒步约16KM，徒步约6-8H),,
冷嘎措,101.705652,29.624555,玉龙西村-泉华滩-冷嘎措 -玉龙西村（徒步约13KM，徒步约6H，乘车约20KM，约0.5H）。贡嘎的一滴眼泪。上帝藏的珍珠，很少被人触碰到。传奇色彩的湖泊,,
理塘,100.269145,29.994228,世界高城，有不错的四钻酒店，康巴汉子在草原驰骋，东顶山日落毛娅草原大气，康巴文化中心，诗经拓印,,
理塘藏戏微博物馆,100.271601,29.999242,藏戏传习所，1.5h 用于祭祀祝祷,,
理塘东山顶,100.276475,29.999542,等候理塘县城全景日，在寺庙后山县城背后。仓央嘉措的情诗，一边是康巴男女约会的圣地，一边是格鲁派修行地这里有康巴汉子赛马队,,
勒通古镇千户藏寨,100.268516,29.99378,古街walk，活佛转世,,
毛娅草原,99.678844,30.294269,马术巡游体验，每年六月到十月有花海，夏天草原会有赛马，在路上可能遇到赛马会，可以一起跳锅庄,,
铁匠山垭口,103.310639,30.498714,途中花海牧场，很多牦牛,,
理塘仁康古街,100.266739,29.993551,丁真工作的博物馆，仓央嘉措微博物馆、康巴人微博物馆、藏戏博物馆、G318旅行记忆微博物馆和喜马拉雅之声微博物馆，尽管具有历史价值的藏品数量非常有限，但是凭借鲜明的主题和具有现代感、设计感的展陈形式让人眼前一亮。,,
理县,103.163284,31.435831,,,
理小路,102.855196,31.361822,"理小路-四川""阿勒泰""雪山、高原、草甸、溪流，木屋，小桥，洗眼之旅，川西的憧憬就这样尽在眼前唾手可得。",,
力曲河畔,99.189651,29.606213,秋色，民宿柴火鸡，环湖轻徒步，湖畔下午茶，湖畔野宴。杨树林和桦树林,,
日头村甘孜,101.540628,29.80754,维系着传统的生活方式，八角形的热么得古碉像守卫一样矗立其中，古碉楼最早是一种防御体系流行于冷兵器时代，如今也是日头村的显著地标，高40 多米，至今800年历史，当地木雅藏族同胞称其“双子高堡”又名“雌雄双碉”，碉楼下的村庙很小，却有着宏愿。日头村的秋日非常漂亮，青稞金黄，牛羊闲步，远离喧嚣。,,
莲宝叶则,101.349631,33.003907,,,
莲花湖甘孜,101.335516,29.372534,有舒适的民宿，吃藏地柴火鸡，天然温泉泉眼，川西的特色浓缩，有小藏寨。星空拍摄，温泉坡森林轻徒，往返3km2h很轻松。莲花湖村过去或者到温泉坡要160一个人，面包车。温泉坡可以泡温泉，泡脚，温泉蛋。,,
两岔河甘孜,102.044867,30.313735,,,
灵岩山,103.614324,31.025855,徒步，二王庙、安澜索桥、南桥等历史古迹,,
露天茶园,103.987825,30.619802,体会成都人特有的休闲节奏,,
泸定,102.234814,29.914103,,,
泸定桥,102.231637,29.9118,,,
泸州花园餐厅,105.414619,28.878676,吃美食,,
泸州老窖旅游景区,105.453603,28.884343,参观怎么做白酒，品尝白酒,,
海子山鹿子图腾,103.032263,29.734395,天然岩画,,
罗锅梁子,100.25997,31.649543,遥望卓达拉雪山（经过点）,,
洛哩措,102.800421,32.096084,绿宝石,,
猫鼻梁小金县,102.84704,30.987878,四姑娘山最佳观景平台之一，观四姑娘全景,,
茂县,103.85332,31.681727,,,
蒙顶山,103.04773,30.075855,参观茶园，品茶,,秋天有银杏，2-3月有山茶花
弥勒山甘孜,102.286783,29.694991,,,
大熊猫国家公园岷山片区,103.67909,31.147638,猎户农户村庄，清朝穆斯林村庄，参观野生大熊猫保护基地，夜间散步驾驶，有机会遇到野生大熊猫或者豹猫、麝猫和猪鼻獾等夜行动物,,
墨石公园,101.5424,30.444886,欣赏全国唯一的高原石林，在高原的雨季，天气的变化会导致这块变质岩的颜色发生巨大变化，变成乌黑的外观。中国地质百慕大，可以用宇航服拍摄像在火星。,,
莫溪沟尾营地,101.756717,29.553611,上日乌且营地-日乌且垭口-莫溪沟尾营地（或勒多漫因BC营地）(徒步约16KM，徒步约6-8H) 可以露营,,
木都垭口甘孜,101.521483,29.790541,感受最壮阔的贡嘎，冬季封闭替代品是黑石城景区,,
木骡子营地,102.874358,31.115535,视野开阔，平缓悠长。夏季格桑花竞相开放我们在么妹峰的庇护下扎营休息，漫天繁星中安然沉睡,,
木雅大寺,101.58683,30.332971,仅次于色达的佛学胜地，转世界最大玛尼石城｜探访被救助的高原野生动物。格日马村内，生动丰富。背靠神山，等待雅拉雪山日落。宁玛派（红教）六大佛寺之一的竹庆寺活佛多吉扎西活佛捐资于1997年建造的，建造时共用了一百多公斤的黄金（也有说是八十公斤。填描石刻经版，寺院听经转经，探访被救助的野生动物。和僧人一起转经,,
乃龙山垭口 甘孜,100.277731,31.826819,,,
奶子沟彩林,102.834345,32.10134,黑水最壮观最精华的彩林区，八十里画廊,,
牛背山,102.376042,29.773772,360观景平台，天文爱好者看星星的地方，,,
七彩甲足阿坝,102.90833,32.122353,比彩虹还绚烂的高山藏寨,,
卡萨湖,100.25997,31.649543,川西北最大的鸟类聚集地,,
卡子拉山云端牧场,100.639354,30.1447,穿越,,
琴台路,104.046869,30.662233,,,
青城山,103.563817,30.9044,参观道教圣地，徒步攀登，在后山有一条20 公里的徒步线路，坐缆车可以快一倍，有瀑布、洞穴和原始森林。青城外山小环线，圆明宫，玉清宫 7km徒步。,,
青羊宫,104.042609,30.661542,看老子的诞生地，八卦亭，隐藏着不同道教神灵的小雕像,,
泉华滩,101.680561,29.587852,媲美黄龙五彩池，鲜为人知，摄影爱好者的天堂,,
人民公园,104.057641,30.65699,百年茶馆盖碗茶，成都人民市井生活。当地人生活的中心，有岩石花园、湖泊和百年老茶馆，挖耳朵的人,,春秋
日隆镇,102.837462,30.996118,有好住宿,,
日乌且垭口 甘孜,101.848317,29.806902,观赏冰川雪山的最佳位置之一，贡嘎无人区的中段，翻越难度最大的垭口,,
三星堆博物馆,104.218621,31.001439,看三星堆，三星堆博物馆为预约制，旺季可能出现门票售罄的情况；如有发生，我们会与您协商退款,,
色达,100.333011,32.268541,大经堂，坛城，寺院咖啡馆，有五钻酒店,,
东嘎寺,100.27615,32.300496,,,
金马草原,100.374759,32.236498,,,
喇荣草原色达,100.29704,32.29432,,,
色其卡村，江巴村,101.577247,30.313645,,,
上海子接待站阿坝,103.705397,32.060863,,,
上木居村,101.648724,29.488089,有住宿,,
上日乌且营地,101.848317,29.806902,格西草原营地-两岔河-下日乌且营地-上日乌且营地(徒步约18KM，徒步约6-8H)。可以露营,,
燊海井,104.787929,29.374344,参观,,
石棉雅安,102.4943,29.05133,玉龙西村-子梅垭口-子梅村-巴王海停车场-石棉（徒步约15KM，徒步约5H，乘车约100KM，约2.5H）有酒店,,
蜀兿剧院·变脸川剧·盖碗茶,104.108524,30.641824,致力于打造老成都新创剧院式茶馆、体验巴蜀魅力表演。在剧场中，观众不仅可以欣赏到正宗的川剧变脸外，我们还准备有丰富多彩，具有四川印象的精品系列节目。在观剧的同时也能细品到四川盖碗茶及中国传统艺术文化的氛围,,
水打坝甘孜,101.678306,28.705201,,,
四川龙桥黑熊救护中心,104.005131,30.827052,观看月熊,,
四姑娘山,102.899998,31.1,蜀山之后，双桥沟，夏日可以高山漂流。双桥沟，长坪沟，海子沟，双桥沟开发完全徒步简单，,,
双桥沟,102.769727,30.980074,雪山脚下的红杉林夏日可以高山漂流，开发完全，徒步较为简单。唯一可以以车代步的。坐观光车到雪山脚下就可以看到红杉林。漫山遍野的野花。双桥沟主要以雪峰、牧场、草地、森林等为主，是四姑娘山最美丽的一条沟，景区内分三段，前段为阴阳谷、五色山等；中段为撵鱼坝、沙辣林等;后段为牛棚子草坪和长河滩等。,,
四姑娘山镇,102.899998,31.1,小镇充满人间烟火，臧式美食应有尽有。,,
松潘古城,103.598276,32.637549,藏族风情浓郁的古城,,
松州古城,103.598276,32.637549,古城遗址+民族风格，松州城是历代兵家必争的边陲军事重镇，是汉民族与少数民族茶马互市的商贸集散地，是我国现存城樯中藏文化的古城遗址。在漫长的历史风兩中，这里的藏、羌、回、汉民族与古城一道历经了无数的战乱兴裒，古城记载和显示着风云变幻,,
苏稽古镇,103.668473,29.58745,峨眉山回成都的路上可以路过参观,,
塔公草原,101.55496,30.32993,雅拉雪山+雅姆雪山日出，可以联系家冬牧场漫游，手作藏家茶歇，有不错的酒店。牧民们的牧场其实分夏牧场和冬牧场，轮换畜牧，塔公草原入秋后牧场会从夏牧场转移到家门口的冬牧场牧民们的生活变成挤奶、分离酥油、捡牛粪、晒牛粪饼、 积攒酥油、去寺院祈福、布施、烤肉、喝酒的一天，这是秋冬牧场的日常主题。,,
塔公寺,101.522306,30.318657,静静地漫步在寺庙内，欣赏僧侣们吟诵经咒、摇响钟声和准备糌粑供品时这里节奏的韵律,,
成都太古里,104.083809,30.653358,时尚购物，繁华市中心购物中心,,
天路十八弯,100.874941,29.996868,,,
自贡兔肉馆,104.770703,29.358024,吃兔肉,,
瓦屋山,102.969421,29.668119,,,
望江楼公园,104.092205,30.629245,"看当地人打麻将，学打麻将
",,
望平街,104.091955,30.655379,成都特色美食小吃，味道正宗价格实惠,,
望平街合江亭,104.083659,30.642929,citywalk,,
文殊院,104.072527,30.675418,参观1000 多年历史的历史圣地，香园茶园，成都最美红墙，成都市内保存最好的佛寺,,春秋
汶川,103.590185,31.476875,,,10-11月是最佳红叶观赏季节
卧龙镇,103.198266,31.039588,经过卧龙，不是一个值得细玩的景点,,
卧龙中华大熊猫苑神树坪基地,103.320388,31.100849,基地内生活有各年龄段大熊猫70余只，归国的明星大熊猫”福宝“，“小奇迹”也生活在这里。,,
伍须海,101.394584,29.177355,藏彝走廊深处，幽绿翡翠，缤纷斑斓。印象川西植物标本DIY，之前关闭多年了。,,
武侯祠,104.047992,30.646168,参观中国古代著名军事战略家诸葛亮的最后安息之地，川西园林代表之作，建筑精美，三国文化,,春秋
夏马龙村私家牧场,101.577247,30.31364,手作藏式茶歇｜游牧生活体验与拍摄｜雪山牧场午餐,,
乡城,99.798116,28.931081,,,
新都桥,101.509559,30.033269,摄影天堂核心区，酒店不错，日车村，日欧村夺让村非常漂亮,,
夺让村,101.518877,29.735228,在新都桥，藏家手作茶歇,,
甲根坝,101.548046,29.842827,秋色，真正原始质朴的自然光影，青杨林变黄，广阔的青稞田园，水磨坊学习怎么做出青稞面,,
日车村新都桥,101.509559,30.033269,摄影师天堂的核心区域，力曲河s弯，有层次的秋色。宫崎骏风格。,,
熊猫谷,103.590005,30.96223,有熊猫志愿者项目,,
雅安,103.041538,30.009998,,,
雅江,101.014366,30.031498,穿越横断山脉云端牧场,,
雅拉雪山,101.592141,30.538864,川西王冠，未登峰，藏区四大神山之一。亚拉雪山下午14:00关闭上山通道，请于14:00之前到达，避免错过时间无法进入景区。,,
雅拉雪山观景平台,101.618675,30.527263,观雅拉,,
羊茸哈达,102.860599,32.103517,被森林包裹的特色藏寨，驻地旅拍，被森林包裹的特色藏寨,,
映秀镇,103.488671,31.055741,,,
鱼子西,101.583305,30.207381,和格底拉姆一般会比较。比较贵的行程有格底拉姆。看日落看山。因冬季鱼子西会因森林防火关闭，格底拉姆和巴郎生都作为备选，届时会根据那个开放前往那个地方,,
玉科草原,101.179043,31.289647,参观青藏高原的天堂，迷人草原，古代雕像，温泉和五色湖，和当地喇嘛进行传统的藏传佛教冥想，体验当地游牧民族生活，骑在藏族小马背上穿越开阔的草海欣赏雪山，挤牛奶和制作牦牛油。康巴牧民帐篷，骑马放牧打乌朵，7、8月可以采摘野生蘑菇,,
玉林路小酒馆,104.056401,30.629547,,,
玉龙拉措,99.119092,31.846564,奶绿色的圣湖，去的路上很漂亮，附近有僧人在这里闭关修炼。雀儿山下，色达出来的时候去,,
玉龙西村 甘孜,101.683405,29.585801,莫溪沟尾营地（勒多漫因BC营地）-玉龙西垭口-玉龙西村(徒步约12KM，徒步约6-8H) 有住宿酒店民宿,,
玉龙西垭口,101.76035,29.80995,,,
月亮湖甘孜,101.331233,29.325717,环湖轻徒步｜湖畔下午茶｜湖畔野宴，搭起天幕，户外桌椅，特色食物，环湖2km轻徒步,,
泽桑拉空中花园甘孜,101.652357,29.809605,可以看到贡嘎，贡嘎雪山等候日落。上面有草甸。和雅哈垭口差不多角度，但是有森林和草。海拔高，较冷。,,
张公桥美食街,103.76892,29.570335,网红小吃街,,
镇江关,103.722219,32.328031,可以坐动车到九寨沟,,
中路藏寨,101.937996,30.889513,参观佛塔、经幡和古老的石塔，在当地家庭学习烹饪家常菜，享用中路独特的风味,,
竹林公园,104.07831,30.458511,看苍鹭和白鹭,,
子梅垭口,101.723028,29.515434,近距离观看贡嘎主峰的好地方，贡嘎最大的观景台。最早被发现的贡嘎经典机位，距离贡嘎主峰仅17.5KM，主峰到河谷6000+米的垂直落差，使这里非常容易形成壮观的云海，在户外圈久负盛名，眺望贡嘎七姊妹，一路光影极美。需要开车换乘前往，自愿,,
尊胜白塔,101.134502,30.970025,在稻城,,